Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
accomplish,"완수하다, 성취하다",To successfully complete or achieve something.,She worked hard to accomplish her goals.,그녀는 목표를 달성하기 위해 열심히 일했다.,"achieve, attain, complete","fail, abandon, neglect",High relevance for writing and speaking tasks.,Moderate relevance for analytical writing and verbal sections.
accumulate,"모으다, 축적하다","To gather or pile up something, especially over time.",She managed to accumulate enough savings to buy a house.,그녀는 집을 살 만큼의 저축을 축적하는 데 성공했다.,"gather, collect, assemble, compile","disperse, scatter, dissipate",High relevance for IELTS Writing and Reading sections.,Moderate relevance for GMAT Verbal and Analytical Writing.
accurate,"정확한, 틀림없는",Free from errors; exact or precise.,The scientist provided an accurate measurement of the data.,그 과학자는 데이터의 정확한 측정을 제공했다.,"precise, exact, correct","inaccurate, imprecise, incorrect",High relevance in writing and speaking sections.,Moderate relevance in reasoning and quantitative sections.
acid,"산; 물질이 신맛을 내고, 금속과 반응하여 염을 형성하는 성질을 가진 화합물","A substance that tastes sour, reacts with metals to form salts, and has a pH less than 7",The acid in the lemon juice made the drink taste tangy.,레몬 주스 속의 산이 음료를 톡 쏘는 맛이 나게 했다.,"sour, tart, sharp","basic, alkaline","High relevance in scientific contexts, particularly chemistry",Low relevance; mostly used in scientific terminology rather than business or analytical contexts
acknowledge,"인정하다, 승인하다, 감사하다","To admit or accept the truth, validity, or existence of something.",She refused to acknowledge her mistake.,그녀는 자신의 실수를 인정하기를 거부했다.,"admit, accept, recognize","deny, reject, ignore","High relevance, often used in writing and speaking tasks.","Moderate relevance, commonly found in reading comprehension passages."
acquiesce,"마지못해 동의하다, 받아들이다",To accept something reluctantly but without protest.,She acquiesced to her boss's demands despite her reservations.,그녀는 주저함에도 불구하고 상사의 요구에 마지못해 동의했다.,"agree, consent, comply","refuse, reject, resist",6,5
acquire,"습득하다, 얻다","To gain or obtain something, often through effort or skill.",She managed to acquire new skills during the training program.,그녀는 교육 프로그램 동안 새로운 기술을 습득하는 데 성공했다.,"obtain, gain, achieve","lose, relinquish, forfeit",High relevance for vocabulary improvement in writing and speaking sections.,Moderate relevance for verbal and reading comprehension sections.
acrobatic,"곡예와 관련된, 곡예 기술을 사용하는",Relating to or involving spectacular gymnastics or physical feats.,The acrobatic performer amazed the audience with her daring stunts.,그 곡예사는 대담한 묘기로 관중을 놀라게 했다.,"gymnastic, nimble, agile",,Low relevance,No relevance
activate,"활성화하다, 작동시키다",to make something active or operative,The technician activated the machine to start the process.,기술자가 과정을 시작하기 위해 기계를 활성화했다.,"initiate, trigger, start","deactivate, halt, stop",5,6
adamant,"요지부동의, 단호한",Refusing to be persuaded or to change one's mind; firmly insistent.,She was adamant that she would not change her decision.,그녀는 자신의 결정을 바꾸지 않겠다고 단호했다.,"unyielding, stubborn, inflexible","flexible, yielding, soft",6.5/10,7/10
adapt,"적응하다, 조정하다",to adjust or modify to suit a particular condition or environment,She had to adapt quickly to the new work environment.,그녀는 새로운 직장 환경에 빨리 적응해야 했다.,"adjust, modify, acclimate","resist, reject, oppose",High relevance for writing and speaking sections,Moderate relevance for reading comprehension and critical reasoning
addiction,어떤 행동이나 물질에 지나치게 의존하여 그것 없이는 정상적인 생활이 어려운 상태,"The state of being compulsively committed to a habit, substance, or activity to the point where it interferes with daily life.",Many people struggle with addiction to social media.,많은 사람들이 소셜 미디어에 대한 중독으로 어려움을 겪습니다.,"dependence, obsession, compulsion","independence, disinterest, freedom",High relevance in topics discussing health and modern lifestyle.,Moderate relevance in reading passages about social or psychological issues.
additive,첨가물 또는 첨가하는 성질을 가진 것,A substance added to something in small quantities to improve or preserve it; relating to addition.,The food contains no artificial additives.,그 음식은 인공 첨가물을 포함하지 않습니다.,"supplement, enhancer, adjunct","subtractive, reducer",Low relevance; may appear in technical or scientific contexts.,Moderate relevance; could appear in quantitative or logical reasoning contexts.
adept,"숙련된, 능숙한",highly skilled or proficient at something,She is adept at solving complex problems.,그녀는 복잡한 문제를 해결하는 데 능숙하다.,"skilled, proficient, expert","inept, unskilled, amateur",High relevance in speaking and writing,Moderate relevance in analytical writing
allergic,"알레르기 반응을 보이는, 또는 알레르기와 관련된",Having an allergy or related to an allergy.,"She is allergic to peanuts, so she avoids eating them.",그녀는 땅콩에 알레르기가 있어서 그것을 먹지 않는다.,"hypersensitive, sensitive",,Moderate relevance in medical or health-related topics.,Low relevance unless in specific contexts like case studies.
alleviate,"고통, 문제 등을 완화하다, 경감하다","to make pain, suffering, or a problem less severe",The medication helped to alleviate the patient's headache.,그 약은 환자의 두통을 완화하는 데 도움을 주었다.,"relieve, ease, mitigate","aggravate, intensify, exacerbate",High relevance for writing and speaking sections,Moderate relevance for reading comprehension
adequate,"충분한, 적절한",Sufficient for a specific need or requirement; acceptable.,The resources provided were adequate for the project.,제공된 자원은 프로젝트에 충분했다.,"sufficient, acceptable, satisfactory","inadequate, insufficient, unsatisfactory",High relevance in Writing and Speaking sections.,Moderate relevance in Analytical Writing Assessment.
adhere,"들러붙다, 고수하다",to stick firmly to something or to follow closely to a set of rules or beliefs,You must adhere to the rules to ensure safety.,안전을 보장하려면 규칙을 반드시 준수해야 합니다.,"stick, follow, comply","ignore, disregard, neglect",High relevance in Listening and Writing sections,Moderate relevance in Analytical Writing section
alloy,두 가지 이상의 금속을 섞어 만든 합금,"A mixture of two or more metals, or of a metal and another element.",The jewelry was made of a gold alloy to enhance its durability.,그 보석은 내구성을 높이기 위해 금 합금으로 만들어졌다.,"mixture, blend, compound",pure metal,Moderate relevance,Low relevance
allure,"매혹, 유혹, 매력",The quality of being powerfully and mysteriously attractive or fascinating.,The allure of the city lights drew her in.,도시의 불빛의 매력이 그녀를 끌어당겼다.,"charm, attraction, appeal","repulsion, aversion, disgust",Moderate relevance for vocabulary enhancement,"Low relevance, but useful for descriptive writing"
adjacent,"인접한, 가까운",next to or adjoining something else,The library is adjacent to the cafeteria.,도서관은 식당 옆에 있다.,"neighboring, nearby, adjoining","distant, separate, remote",7,6
adjourn,"회의 등을 연기하다, 휴회하다",To suspend or postpone a meeting or session to another time or place,The meeting was adjourned until next Monday.,회의는 다음 주 월요일까지 연기되었습니다.,"postpone, suspend, defer","continue, resume, proceed",Moderate relevance for academic and formal contexts,Moderate relevance for business and leadership scenarios
altar,"제단, 예배나 제사를 위해 사용하는 구조물",a structure used for worship or offerings in religious practices,The priest placed the sacred offerings on the altar.,사제가 신성한 제물을 제단 위에 올려놓았다.,"shrine, sanctuary",,5,4
administer,"관리하다, 집행하다, (약 등을) 투여하다","to manage or supervise the execution of something; to dispense or apply (e.g., medication)",The nurse will administer the medication to the patient.,간호사가 환자에게 약을 투여할 것입니다.,"manage, oversee, dispense","neglect, mismanage",6.5-7.5,High relevance in business and management contexts
alter,"바꾸다, 변경하다",to change or make different,She decided to alter her dress before the party.,그녀는 파티 전에 드레스를 수정하기로 결정했다.,"change, modify, adjust","preserve, maintain, keep",High relevance in Writing and Speaking sections,Moderate relevance in Analytical Writing Assessment
admission,"입학, 입장 또는 승인",The act of allowing someone to enter; permission to join or participate.,The admission to the museum costs $10.,박물관 입장료는 10달러입니다.,"entry, access, acceptance","denial, exclusion, rejection",High relevance in Academic Reading and Writing sections,Moderate relevance in Reading Comprehension and Critical Reasoning sections
alternative,"대안, 선택 가능한 대안",A choice between two or more options or possibilities.,We need to find an alternative to plastic packaging.,우리는 플라스틱 포장에 대한 대안을 찾아야 합니다.,"option, choice, substitute","necessity, compulsion","High relevance, commonly used in speaking and writing tasks.","Moderate relevance, often appears in critical reasoning or reading comprehension."
adopt,"입양하다, 채택하다, 받아들이다","to take something or someone into one's care, to choose or follow an idea, practice, or method",The family decided to adopt a stray dog from the shelter.,그 가족은 보호소에서 길 잃은 개를 입양하기로 결정했다.,"accept, embrace, choose","reject, abandon, disown",7,6
altitude,높이 또는 고도,The height of an object or point in relation to sea level or ground level.,"The airplane reached an altitude of 30,000 feet.","비행기는 고도 30,000피트에 도달했다.","height, elevation, distance above sea level","depth, low point",Medium,Low
adorn,"꾸미다, 장식하다",to make something more beautiful or attractive by adding decorations,She adorned her room with beautiful paintings and flowers.,그녀는 아름다운 그림과 꽃들로 방을 꾸몄다.,"decorate, embellish, beautify","strip, deface, mar",5.5-6.5,Medium
altruism,"이타주의, 타인을 위한 행동이나 태도를 중요시하는 성향",The selfless concern for the well-being of others,Her altruism was evident when she donated most of her savings to charity.,그녀의 이타주의는 그녀가 대부분의 저축을 자선 단체에 기부했을 때 분명히 드러났다.,"selflessness, charity, benevolence","selfishness, egoism, narcissism",7,8
adroit,"능숙한, 솜씨 좋은",skillful and clever in handling situations or tasks,The adroit negotiator managed to secure a favorable deal for the company.,능숙한 협상가는 회사에 유리한 거래를 성사시켰다.,"skillful, dexterous, nimble","clumsy, awkward, inept",High relevance for vocabulary sections,Moderate relevance in verbal reasoning
ambient,"환경의, 주위의, 분위기의",Relating to the surrounding environment or atmosphere.,The ambient lighting in the room created a calm and relaxing atmosphere.,방 안의 분위기 조명은 차분하고 편안한 분위기를 만들어냈다.,"surrounding, atmospheric, encompassing",,"Medium relevance, useful for topics on environment and design.","Low relevance, rarely used in business contexts."
advanced,"발전된, 고급의, 앞선",having progressed beyond an initial stage; highly developed or complex.,The advanced technology of the new smartphone amazed everyone.,새로운 스마트폰의 첨단 기술은 모두를 놀라게 했다.,"progressive, developed, sophisticated","basic, primitive, simple","High relevance, often used in academic and scientific contexts.","Moderate relevance, commonly used in analytical writing and reading comprehension sections."
ambiguous,"여러 가지로 해석될 수 있는, 모호한",Open to more than one interpretation; not having one obvious meaning.,The instructions were so ambiguous that no one could understand them clearly.,지침이 너무 모호해서 아무도 그것을 명확히 이해할 수 없었다.,"vague, unclear, indefinite","clear, explicit, definite","High relevance for vocabulary section, especially in writing and reading tasks.",Useful in verbal reasoning and reading comprehension sections.
advantage,"유리함, 이점",A condition or circumstance that puts one in a favorable or superior position.,Having experience in the field is a significant advantage when applying for jobs.,해당 분야에서의 경험이 직업을 구할 때 중요한 이점이 된다.,"benefit, edge, superiority","disadvantage, drawback, handicap",7,5
amenity,"편의 시설, 쾌적함",a desirable or useful feature or facility of a building or place,The hotel offers many amenities such as a swimming pool and free Wi-Fi.,그 호텔은 수영장과 무료 와이파이 같은 많은 편의 시설을 제공합니다.,"facility, service, comfort","inconvenience, discomfort",6.0,5.5
advent,"출현, 도래 (특히 중요한 사건이나 인물의 도래를 의미함)","The arrival or beginning of something, especially something important.",The advent of the internet has transformed the way we communicate.,인터넷의 도래는 우리가 소통하는 방식을 변화시켰다.,"arrival, emergence, appearance","departure, disappearance, exit",6,7
amnesty,특정 범죄나 잘못에 대해 정부가 부여하는 사면 또는 용서,An official pardon for people who have been convicted of political offenses,The government granted amnesty to political prisoners.,정부는 정치범들에게 사면을 부여했다.,"pardon, forgiveness, reprieve","punishment, penalty, retribution",Moderate relevance in Reading and Writing sections,Low relevance but useful in Analytical Writing Assessment
adverse,"부정적인, 불리한",harmful or unfavorable,The adverse weather conditions forced the event to be canceled.,불리한 날씨 조건 때문에 행사가 취소되었습니다.,"unfavorable, harmful, negative","favorable, beneficial, positive",High relevance in reading and writing sections,Moderate relevance in verbal reasoning
amphibian,"양서류, 물과 육지를 모두 살아갈 수 있는 동물","An animal capable of living both in water and on land, typically having an aquatic larval stage and a terrestrial adult stage.",Frogs are one of the most common examples of amphibians.,개구리는 가장 흔한 양서류의 예 중 하나입니다.,"frog, salamander, newt",,Medium relevance for environmental and biological topics,Low relevance
advertise,"광고하다, 홍보하다","To promote a product, service, or idea by publicizing it.",The company decided to advertise their new product on social media.,그 회사는 그들의 신제품을 소셜 미디어에서 광고하기로 결정했다.,"promote, market, publicize","conceal, hide, suppress",High relevance for Writing and Speaking sections.,Moderate relevance for Verbal section.
ample,"풍부한, 충분한, 넉넉한",more than enough; abundant; spacious,The library has ample space for study and research.,도서관은 공부와 연구를 위한 충분한 공간을 가지고 있다.,"abundant, plentiful, sufficient","scarce, limited, insufficient",High relevance for vocabulary in reading and writing sections,Moderate relevance in reading comprehension passages
advocate,"어떤 행동, 정책, 아이디어를 공개적으로 지지하는 사람 또는 그것을 지지하다","A person who publicly supports a particular cause, policy, or idea, or to support something publicly",She is an advocate for environmental protection.,그녀는 환경 보호를 옹호하는 사람입니다.,"supporter, champion, proponent","opponent, critic, detractor",High relevance in writing and speaking sections,Moderate relevance in reading comprehension and critical reasoning sections
amplify,"확대하다, 증폭하다","to increase the strength or amount of something, especially sound or energy",The speaker was used to amplify the sound during the concert.,스피커는 콘서트 중에 소리를 증폭하기 위해 사용되었다.,"increase, boost, enhance","reduce, diminish, lessen",Medium relevance for speaking and writing topics related to technology or communication.,"Low relevance, primarily useful in reading comprehension or analytical writing."
aerial,"공중의, 하늘에 있는",relating to the air or atmosphere; existing above the ground,The aerial view of the city was breathtaking.,도시의 공중 전망은 숨이 멎을 정도로 아름다웠다.,"overhead, atmospheric, airy",,Moderate relevance for describing environments or perspectives,Low relevance for business-related contexts
analogous,"유사한, 비슷한",similar in some way; comparable,The heart is analogous to a pump in its function.,심장은 그 기능에서 펌프와 유사하다.,"similar, comparable, parallel",,6,5
aerobic,"산소를 이용하는, 유산소의","Relating to or involving oxygen, especially in the process of aerobic exercise.",Aerobic exercise improves cardiovascular health.,유산소 운동은 심혈관 건강을 개선합니다.,"cardiovascular, oxygen-based",anaerobic,Moderately Relevant,Minimally Relevant
analyze,"분석하다, 어떤 대상을 세밀히 조사하여 그 속성을 알아내다","To examine methodically and in detail the constitution or structure of something, typically for purposes of explanation and interpretation",The scientist will analyze the data to find patterns.,과학자는 데이터를 분석하여 패턴을 찾을 것이다.,"examine, evaluate, interpret","ignore, neglect",High relevance for academic writing and speaking,Moderate relevance for analytical writing and reasoning sections
aesthetic,미적 감각이나 아름다움과 관련된 것,Related to beauty or the appreciation of artistic qualities,The aesthetic design of the building attracts many tourists.,그 건물의 미적인 디자인은 많은 관광객들을 끌어들인다.,"artistic, beautiful, tasteful","unattractive, ugly, plain",High relevance for writing and speaking tasks,"Moderate relevance, especially in analytical writing"
ancestor,"조상, 선조","A person from whom one is descended, typically one more remote than a grandparent.",Our ancestors lived in small villages and farmed the land.,우리 조상들은 작은 마을에 살며 땅을 경작했다.,"forebear, forefather, predecessor","descendant, successor","High relevance in reading and writing sections, especially in topics related to history or heritage.",Moderate relevance in analytical writing and reading comprehension sections.
affable,상냥하고 친근한,"friendly, good-natured, or easy to talk to",The manager was affable and made everyone feel comfortable during the meeting.,매니저는 상냥하여 회의 중 모두가 편안함을 느끼게 했다.,"friendly, amiable, cordial","hostile, unfriendly, aloof",7,6
anecdote,짧고 재미있는 이야기 또는 개인적인 일화,A short and amusing or interesting story about a real incident or person,She shared an amusing anecdote about her trip to Italy last summer.,그녀는 지난 여름 이탈리아 여행에 대한 재미있는 일화를 공유했다.,"story, tale, narrative",,Medium relevance,Low relevance
affect,"영향을 미치다, 작용하다",To produce an effect or change in something or someone,The new policy will affect the economy significantly.,새로운 정책은 경제에 상당한 영향을 미칠 것이다.,"influence, impact, change","remain, preserve, maintain",High relevance in writing and speaking sections,Moderate relevance in analytical writing and reading comprehension sections
anesthesia,의식과 통증을 느끼지 못하도록 만드는 상태 또는 방법,A state or method of causing insensitivity to pain or consciousness.,The patient was given anesthesia before the surgery.,환자는 수술 전에 마취를 받았다.,"sedation, numbness, analgesia","consciousness, sensation, awareness",Low relevance,Low relevance
affiliate,"계열사로 가입시키다, 제휴하다, 연계되다",to officially attach or connect a subsidiary group or a person to an organization,The company decided to affiliate with a larger corporation to expand its market reach.,그 회사는 시장 범위를 확장하기 위해 더 큰 기업과 제휴하기로 결정했다.,"associate, partner, ally","detach, disaffiliate, separate",6,5
animosity,"적대감, 원한",A strong feeling of hostility or opposition.,There was obvious animosity between the two coworkers.,두 동료 사이에는 분명한 적대감이 있었다.,"hostility, antagonism, resentment","friendship, harmony, affection",7,6
affinity,"친밀감, 친근감; 어떤 것에 대한 선호나 끌림",A natural liking for or attraction to someone or something.,She felt an immediate affinity for the people she met during her travels.,그녀는 여행 중 만난 사람들에게 즉각적인 친밀감을 느꼈다.,"liking, attraction, rapport","dislike, aversion",7-8,600-700
annihilate,"완전히 파괴하다, 전멸시키다",To destroy completely or obliterate,The invading army aimed to annihilate the entire city.,침략군은 도시 전체를 전멸시키는 것을 목표로 했다.,"destroy, obliterate, eradicate","create, construct, build",Moderate relevance for academic writing and speaking,Low relevance for business context
affluent,"부유한, 풍족한",having a great deal of money; wealthy,The affluent neighborhood was filled with luxurious houses and expensive cars.,그 부유한 동네는 호화로운 집들과 비싼 차들로 가득 차 있었다.,"wealthy, prosperous, rich","poor, impoverished, destitute",7,650
anomaly,"이례, 변칙, 특이한 것",something that deviates from the norm or expectation,The scientist discovered an anomaly in the data that required further investigation.,과학자는 추가적인 조사가 필요한 데이터에서 특이점을 발견했다.,"abnormality, irregularity, peculiarity","normality, regularity, standard","High relevance for academic context, especially in describing unusual patterns.",Moderate relevance for analyzing data discrepancies or exceptions.
aftermath,어떤 사건이나 상황이 끝난 후의 결과나 여파,"The consequences or results following an event, especially a disastrous one",The aftermath of the storm left the town in ruins.,폭풍이 지나간 여파로 마을은 폐허가 되었다.,"consequence, result, outcome","cause, origin",High relevance in writing and reading sections,Moderate relevance in reading comprehension passages
anonymously,"익명으로, 이름을 밝히지 않고",Without revealing one's identity; in a way that does not disclose who someone is.,She donated a large sum of money anonymously to the charity.,그녀는 익명으로 자선단체에 많은 금액을 기부했다.,"namelessly, secretly, unidentified",,"Medium relevance, often used in Writing and Speaking sections.","Low relevance, occasionally encountered in Reading Comprehension passages."
agency,"대리, 대행 또는 특정한 일을 수행하는 조직",An organization or entity that acts on behalf of others or conducts specific tasks,The advertising agency created a successful campaign for their client.,광고 대행사는 고객을 위한 성공적인 캠페인을 만들었다.,"organization, entity, representative","individual, client, principal",High relevance in reading and writing sections,Moderate relevance in verbal and analytical writing sections
antibiotic,세균이나 기타 미생물의 성장을 억제하거나 파괴하는 물질,A substance that inhibits or destroys the growth of bacteria or other microorganisms.,The doctor prescribed an antibiotic to treat the infection.,의사가 감염을 치료하기 위해 항생제를 처방했다.,"antimicrobial, antibacterial, medicine","pathogen, virus, bacteria",Medium,Low
aggravate,"악화시키다, 화나게 하다",To make worse or more severe; to annoy or irritate.,The loud music aggravated her headache.,시끄러운 음악이 그녀의 두통을 악화시켰다.,"exacerbate, irritate, intensify","alleviate, soothe, relieve",Moderately relevant in context of describing worsening situations.,Low relevance; primarily used in argumentative or descriptive scenarios.
antibody,"항체는 면역 체계를 구성하는 단백질로, 신체에 침입한 병원체를 인식하고 제거하는 역할을 한다.",An antibody is a protein produced by the immune system to identify and neutralize pathogens like bacteria and viruses.,The presence of antibodies in the blood indicates a response to infection.,혈액 내 항체의 존재는 감염에 대한 반응을 나타낸다.,"immunoglobulin, serum protein",,High relevance in medical-related topics and scientific vocabulary.,"Low relevance, primarily used in scientific contexts rather than business or analytical reasoning."
aggregate,"모으다, 집합체, 총합",To collect or gather into a whole; a whole formed by combining several elements.,The company aims to aggregate data from various sources to improve its services.,그 회사는 서비스를 개선하기 위해 다양한 출처에서 데이터를 모으는 것을 목표로 하고 있다.,"combine, assemble, accumulate","separate, divide, disperse",7,6
anticipate,"예상하다, 기대하다",To expect or predict something in advance,She anticipated the problems before they arose.,그녀는 문제가 발생하기 전에 그것을 예상했다.,"expect, predict, foresee","ignore, doubt",High relevance for vocabulary in reading and writing sections,Moderate relevance for analytical writing and critical reasoning sections
agricultural,"농업의, 농업과 관련된",relating to farming or agricultural practices,The agricultural sector plays a vital role in the country's economy.,농업 부문은 국가 경제에서 중요한 역할을 한다.,"farming, agrarian, rural","industrial, urban, nonagricultural","High relevance, often used in topics related to environment and economy","Moderate relevance, occasionally encountered in reading comprehension or critical reasoning passages"
antigen,항원은 면역 반응을 유발하는 외부 물질이다.,"An antigen is a substance that induces an immune response in the body, especially the production of antibodies.",The immune system produces antibodies in response to the presence of an antigen.,면역 체계는 항원이 존재할 때 항체를 생성한다.,"immunogen, pathogen",,"6.5 - 7.5 in reading, related to biology or health topics","Low relevance, mainly appears in scientific context questions"
aim,"목표, 목적 혹은 목표로 삼다",to point or direct at a target; a goal or purpose,She aimed to finish the project by next week.,그녀는 다음 주까지 프로젝트를 끝내는 것을 목표로 삼았다.,"target, goal, objective","neglect, ignore, disregard",5,4
antioxidant,"산화 방지제, 신체의 산화를 방지하는 물질",A substance that prevents or slows down the oxidation process in the body.,Eating fruits rich in antioxidants can help protect your cells from damage.,항산화제가 풍부한 과일을 먹으면 세포 손상을 방지하는 데 도움을 줄 수 있습니다.,"free radical scavenger, oxidation inhibitor",,Medium relevance in health-related topics,Low relevance in business contexts
airborne,"공중에 떠 있는, 공기로 운반되는",Carried or transported by the air; in the air.,"The pollen became airborne, causing allergies for many people.",꽃가루가 공중으로 날아가 많은 사람들에게 알레르기를 일으켰다.,"aerial, floating, aloft","grounded, earthbound",Medium relevance in environmental and scientific contexts,Low relevance unless related to specific scenarios in reading comprehension
